date,entry,target_url,target_state,classification
2012-12-15,Complete the National Pokédex,https://www.pokemon.co.jp/ex/b2w2/koryaku/koryaku07.html,Resolved,content-update
2012-12-15,Strong trainers across Unova,https://www.pokemon.co.jp/ex/b2w2/koryaku/koryaku08.html,Resolved,content-update
2012-12-15,Medal System special-condition medals,https://www.pokemon.co.jp/ex/b2w2/system/system05.html,Resolved,content-update
2012-12-15,Legendary Pokémon / volcanic legendary update,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon08.html,Resolved,content-update
2012-11-15,Challenge the powered-up Pokémon League,https://www.pokemon.co.jp/ex/b2w2/koryaku/koryaku05.html,Resolved,content-update
2012-11-15,Solve the mystery of the Abyssal Ruins,https://www.pokemon.co.jp/ex/b2w2/koryaku/koryaku06.html,Resolved,content-update
2012-11-15,Legendary Pokémon update,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon08.html,Resolved,content-update
2012-10-15,New elements / strategy and play guide,https://www.pokemon.co.jp/ex/b2w2/koryaku/,Resolved,koryaku-branch-launch/update
2012-10-15,Legendary Pokémon update,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon08.html,Resolved,content-update
2012-09-15,Complete the Unova Pokédex,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon06.html,Resolved,content-update
2012-09-15,Unova Pokédex completion rewards,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon07.html,Resolved,content-update
2012-09-15,Legendary Pokémon,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon08.html,Resolved,content-update
2012-09-15,Pokéstar Studios update,https://www.pokemon.co.jp/ex/b2w2/system/,Resolved,content-update
2012-09-15,Funfest Mission update,https://www.pokemon.co.jp/ex/b2w2/system/system02.html,Resolved,content-update
2012-08-11,Official Wi-Fi competition Beginning Cup,https://www.pokemon.co.jp/redirect/index.php/2529/,Redirect-target-unresolved,competition
2012-08-11,Story update,https://www.pokemon.co.jp/ex/b2w2/story/story02.html,Resolved,content-update
2012-08-11,Benga character update,https://www.pokemon.co.jp/ex/b2w2/characters/character14.html,Resolved,content-update
2012-08-11,Black Kyurem / White Kyurem update,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon04.html,Resolved,content-update
2012-08-11,Tornadus / Thundurus / Landorus form update,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon05.html,Resolved,content-update
2012-08-11,Key System update,https://www.pokemon.co.jp/ex/b2w2/system/system06.html,Resolved,content-update
2012-07-20,Battles and trades compatibility,https://www.pokemon.co.jp/ex/b2w2/system/system09.html,Resolved,communication
2012-07-20,Communication functions other than battles/trades,https://www.pokemon.co.jp/ex/b2w2/system/system10.html,Resolved,communication
2012-07-14,Black Kyurem / White Kyurem information update,https://www.pokemon.co.jp/ex/b2w2/pokemon/,Resolved,content-update
2012-07-14,Iris / Ghetsis / Zinzolin character update,https://www.pokemon.co.jp/ex/b2w2/characters/character11.html,Resolved-to-branch-entry,content-update
2012-07-14,System information update,https://www.pokemon.co.jp/ex/b2w2/system/system06.html,Resolved-to-known-target,content-update
2012-07-06,New x4 promotional video,unknown,Indexed-title-only,promotional-video
2012-06-23,Black 2 / White 2 released today,unknown,Indexed-title-only,release-announcement
2012-06-22,PGL Black 2 / White 2 additional-registration campaign,https://www.pokemon.co.jp/redirect/index.php/2526/,Redirect-target-unresolved,PGL-campaign
2012-06-22,Memory Link caution,https://www.pokemon.co.jp/info/2012/06/120622_at01.html,Resolved,service-notice
2012-06-15,Black Kyurem / White Kyurem information update,https://www.pokemon.co.jp/ex/b2w2/pokemon/,Resolved,content-update
2012-06-15,Elesa / Team Plasma character update,https://www.pokemon.co.jp/ex/b2w2/characters/character09.html,Resolved-to-branch-entry,content-update
2012-06-15,System information update,https://www.pokemon.co.jp/ex/b2w2/system/system02.html,Resolved-to-known-target,content-update
2012-06-15,Pokémon information update,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon03.html,Resolved-to-known-target,content-update
2012-06-15,Story information update,https://www.pokemon.co.jp/ex/b2w2/story/story01.html,Resolved-to-known-target,content-update
2012-06-08,Commercial and introduction video released,unknown,Indexed-title-only,promotional-video
2012-05-17,Special introduction movie on YouTube,https://www.pokemon.co.jp/redirect/index.php/3105/,Redirect-target-unresolved,promotional-video
2012-05-15,Dream Radar / Pokédex 3D Pro information,https://www.pokemon.co.jp/ex/3ds_soft/,Historical-redirect,download-software
2012-05-15,Characters opened,https://www.pokemon.co.jp/ex/b2w2/characters/character05.html,Resolved-to-branch-entry,site-update
2012-05-15,Pokémon information opened,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon02.html,Resolved-to-branch-entry,site-update
2012-05-15,Game System opened,https://www.pokemon.co.jp/ex/b2w2/system/,Resolved,site-update
2012-05-15,Download Software opened,https://www.pokemon.co.jp/ex/b2w2/dlsoft/,Resolved,site-update
2012-05-11,PGL service suspension for renewal,https://www.pokemon.co.jp/info/2012/05/120511_g01.html,Resolved,PGL-service-notice
2012-04-14,Story information opened,https://www.pokemon.co.jp/ex/b2w2/story/,Resolved,site-update
2012-04-14,Characters information opened,https://www.pokemon.co.jp/ex/b2w2/characters/,Resolved,site-update
2012-04-14,Pokémon information opened,https://www.pokemon.co.jp/ex/b2w2/pokemon/,Resolved,site-update
2012-04-14,Promotional movie released,unknown,Indexed-title-only,promotional-video
