id,path,role,file_count,evidence,verification,conflict,source_notes
w2-main-text,/a/0/0/2,main/system text,TBD,Direct technical,Unverified,no,"PPRE White2 mapping"
w2-story-text,/a/0/0/3,story text,TBD,Corroborated for B2W2,Unverified,no,"PPRE; B2W2 General ROM Info"
w2-maps,/a/0/0/8,map resources,TBD,Corroborated for B2W2,Unverified,no,"B2W2 General ROM Info; ROM-content cross-reference"
w2-battle-backgrounds,/a/0/1/1,battle backgrounds,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-zonedata,/a/0/1/2,ZoneData,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-personal,/a/0/1/6,Pokemon personal data,TBD,Corroborated for B2W2,Unverified,no,"B2W2 General ROM Info; PPRE"
w2-growth,/a/0/1/7,experience/growth table,TBD,Direct technical,Unverified,no,"PPRE shared B2W2 mapping"
w2-level-moves,/a/0/1/8,level-up learnsets,TBD,Corroborated for B2W2,Unverified,no,"B2W2 General ROM Info; PPRE"
w2-evolutions,/a/0/1/9,evolution data,TBD,Corroborated for B2W2,Unverified,no,"B2W2 General ROM Info; PPRE"
w2-base-evo,/a/0/2/0,base-evolution/baby lookup,TBD,Direct technical,Unverified,no,"Legacy PPRE terminology; exact semantic format TBD"
w2-move-data,/a/0/2/1,move data,TBD,Corroborated for B2W2,Unverified,no,"B2W2 General ROM Info; PPRE"
w2-item-data,/a/0/2/4,item data,TBD,Direct technical,Unverified,no,"PPRE shared Gen V mapping"
w2-title-screen,/a/0/2/6,title-screen resources,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-start-menu,/a/0/3/0,start-menu sprite/resources,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-overworld-sprites,/a/0/4/8,overworld sprites,TBD,Corroborated for B2W2,Unverified,no,"Public B2W2 ROM-content documentation"
w2-scripts,/a/0/5/6,in-game scripts,TBD,Corroborated for B2W2,Unverified,no,"B2W2 General ROM Info; script research"
w2-move-animations,/a/0/6/5,move animations,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-trainer-front,/a/0/7/1,animated trainer sprites front/VS,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-trainer-back,/a/0/7/2,animated trainer sprites back/send-out,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-trdata,/a/0/9/1,trainer metadata,TBD,Corroborated,Unverified,yes,"B2W2 General ROM Info; TrainerTyrant; Triple-Battle-Converter; legacy PPRE conflict"
w2-trpoke,/a/0/9/2,trainer parties,TBD,Corroborated,Unverified,yes,"B2W2 General ROM Info; TrainerTyrant; legacy PPRE conflict"
w2-facility-banlist,/a/1/0/6,battle-facility/PWT banlist container,TBD,Single-source technical analysis,Unverified,no,"Project Pokemon technical research"
w2-egg-moves,/a/1/2/4,egg moves,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-overworld-events,/a/1/2/6,overworld/map-event data,TBD,Corroborated,Unverified,yes,"B2W2 General ROM Info; independent hacking reports; legacy PPRE encounter conflict"
w2-encounters,/a/1/2/7,wild encounter tables,TBD,Corroborated,Unverified,yes,"B2W2 General ROM Info; wild-editing research; legacy PPRE conflict"
w2-ingame-trades,/a/1/6/3,in-game trades,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-trainer-mugshots,/a/2/6/7,trainer mugshots,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-hidden-grotto,/a/2/7/3,Hidden Grotto encounter table,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-pokemart,/a/2/8/2,Poke Mart data,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-pwt-board,/a/2/9/1,PWT board trainer sprites,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
w2-dex-locations,/a/2/9/6,Pokedex in-game location data,TBD,Direct technical,Unverified,no,"B2W2 General ROM Info"
